"uuid","Name","Symbol","Price","Volume","Market_cap","Circulating_Supply","Image"
"92435c6e-f840-4a9b-a9b6-6c44ba374814","Stellar","XLM","$0.1895","$355,164,722","$4,698,738,080","24,760,847,854 XLM","https://s2.coinmarketcap.com/static/img/coins/64x64/512.png"
"394fa746-aaf3-4ec9-ab1a-18f785e80f8c","Monero","XMR","$220.09","$330,587,170","$4,001,231,772","18,105,841 XMR","https://s2.coinmarketcap.com/static/img/coins/64x64/328.png"
"bab1d3a3-134a-4b65-8616-c0c19fcc7aed","Decentraland","MANA","$2.14","$265,645,267","$3,948,168,407","1,842,491,669 MANA","https://s2.coinmarketcap.com/static/img/coins/64x64/1966.png"
"d41505f3-55cb-4192-9c69-04db428baf28","Hedera","HBAR","$0.1976","$69,143,601","$3,888,445,813","19,565,356,901 HBAR","https://s2.coinmarketcap.com/static/img/coins/64x64/4642.png"
"96d6ddf3-c246-4db3-bcc2-656003d335dc","VeChain","VET","$0.05947","$311,505,404","$3,853,862,951","64,315,576,989 VET","https://s2.coinmarketcap.com/static/img/coins/64x64/3077.png"
"04dad3ed-a1ae-48f7-a920-d4ab83af7097","Filecoin","FIL","$19.22","$401,461,131","$3,644,051,377","189,043,750 FIL","https://s2.coinmarketcap.com/static/img/coins/64x64/2280.png"
"b62b08d7-0db1-4c3e-9d86-04976d6dd141","Internet Computer","ICP","$16.62","$196,679,507","$3,617,376,815","217,505,075 ICP","https://s2.coinmarketcap.com/static/img/coins/64x64/8916.png"
"cc0bb6c9-d74c-4da6-bcbe-2e69a1235d91","Elrond","EGLD","$153.80","$123,850,287","$3,346,598,025","21,774,440 EGLD","https://s2.coinmarketcap.com/static/img/coins/64x64/6892.png"
"4b840652-fb0d-4451-97ea-646c18b7e97d","The Sandbox","SAND","$2.72","$417,808,634","$3,162,036,646","1,157,908,752 SAND","https://s2.coinmarketcap.com/static/img/coins/64x64/6210.png"
"aa1c416f-8e6b-46a3-9374-492e88951e74","Theta Network","THETA","$3.07","$172,812,502","$3,088,915,852","1,000,000,000 THETA","https://s2.coinmarketcap.com/static/img/coins/64x64/2416.png"
"0132dea9-af24-4fb0-9285-55d863c446ec","ApeCoin","APE","$10.80","$787,562,952","$2,993,727,042","277,500,000 APE","https://s2.coinmarketcap.com/static/img/coins/64x64/18876.png"
"810770ce-a163-4c61-960f-95664f5692b4","Fantom","FTM","$1.14","$410,948,833","$2,911,663,521","2,545,006,273 FTM","https://s2.coinmarketcap.com/static/img/coins/64x64/3513.png"
"7159f2d6-9b9a-44e1-86d7-e2c14d06b3c5","Klaytn","KLAY","$1.01","$98,678,354","$2,819,057,426","2,781,698,449 KLAY","https://s2.coinmarketcap.com/static/img/coins/64x64/4256.png"
"5f24dd6c-c85b-4187-b4bc-6c1c28f4ad9b","Axie Infinity","AXS","$45.72","$382,979,314","$2,792,046,887","60,907,500 AXS","https://s2.coinmarketcap.com/static/img/coins/64x64/6783.png"
"b9fcb1ad-51b1-4e91-91e4-00906957db1e","Tezos","XTZ","$3.02","$101,998,265","$2,698,141,980","890,738,048 XTZ","https://s2.coinmarketcap.com/static/img/coins/64x64/2011.png"
"cc29ec91-8fb6-4fa0-98fe-d09b5caadfff","THORChain","RUNE","$8.11","$121,851,235","$2,685,864,234","330,688,061 RUNE","https://s2.coinmarketcap.com/static/img/coins/64x64/4157.png"
"6baa608e-d6d4-466f-96a1-361f6af9ba56","Helium","HNT","$20.94","$20,571,039","$2,418,413,052","115,268,046 HNT","https://s2.coinmarketcap.com/static/img/coins/64x64/5665.png"
"fdce93bf-9927-40a3-8b95-f896ce5e9c53","Waves","WAVES","$21.67","$758,284,705","$2,340,639,574","107,974,546 WAVES","https://s2.coinmarketcap.com/static/img/coins/64x64/1274.png"
"c49e48dc-124d-4e42-acff-acb824c1cbf2","PancakeSwap","CAKE","$7.95","$203,554,006","$2,302,597,667","289,248,525 CAKE","https://s2.coinmarketcap.com/static/img/coins/64x64/7186.png"
"b0edcd68-b5a3-4569-a689-f8c89496109b","Aave","AAVE","$163.22","$259,521,448","$2,236,154,503","13,680,299 AAVE","https://s2.coinmarketcap.com/static/img/coins/64x64/7278.png"
"bd80b5b5-de34-408d-a8db-a3ce0a9fd238","EOS","EOS","$2.22","$439,245,728","$2,197,971,447","986,600,880 EOS","https://s2.coinmarketcap.com/static/img/coins/64x64/1765.png"
"8db5fb71-eec0-475c-a8cd-3c18e0de6ba9","Zcash","ZEC","$152.48","$240,824,435","$2,163,733,179","14,144,081 ZEC","https://s2.coinmarketcap.com/static/img/coins/64x64/1437.png"
"a744c035-84c6-4b08-8c51-4794312cfe52","Flow","FLOW","$5.56","$85,674,358","$2,009,664,217","358,986,557 FLOW","https://s2.coinmarketcap.com/static/img/coins/64x64/4558.png"
"a12a4b97-9e37-4718-b66e-7a2c014337ea","Convex Finance","CVX","$32.90","$25,052,817","$1,884,494,162","57,108,913 CVX","https://s2.coinmarketcap.com/static/img/coins/64x64/9903.png"
"3b1d1f99-a790-4013-824f-2e69df0e4859","Maker","MKR","$1,918.18","$49,215,351","$1,880,451,553","977,631 MKR","https://s2.coinmarketcap.com/static/img/coins/64x64/1518.png"
"53467c1d-477c-41f8-bdf2-5fbaf89eed61","IOTA","MIOTA","$0.6712","$34,584,277","$1,868,540,698","2,779,530,283 MIOTA","https://s2.coinmarketcap.com/static/img/coins/64x64/1720.png"
